QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote
USHICK.87NWPC.R010D,Man,44,"(Let's assume again that all you know about two candidates for office is that one is a man and one is a woman. For each of the issues, tell me whether you think the man or the woman probably would do a better job dealing with it in office.)... Arms control",,,05/1/1987,Hickman-Maslin Research,National Women's Political Caucus,New Political Woman,05/26/1987,06/1/1987,Y,National--Registered Voters (See note),1500,Telephone Interview,Sample consists of 1000 women and 500 men. Responses of the genders are weighted to reflect their actual proportion in the population.
USHICK.87NWPC.R010D,Woman,15,"(Let's assume again that all you know about two candidates for office is that one is a man and one is a woman. For each of the issues, tell me whether you think the man or the woman probably would do a better job dealing with it in office.)... Arms control",,,05/1/1987,Hickman-Maslin Research,National Women's Political Caucus,New Political Woman,05/26/1987,06/1/1987,Y,National--Registered Voters (See note),1500,Telephone Interview,Sample consists of 1000 women and 500 men. Responses of the genders are weighted to reflect their actual proportion in the population.
USHICK.87NWPC.R010D,No difference (vol.),34,"(Let's assume again that all you know about two candidates for office is that one is a man and one is a woman. For each of the issues, tell me whether you think the man or the woman probably would do a better job dealing with it in office.)... Arms control",,,05/1/1987,Hickman-Maslin Research,National Women's Political Caucus,New Political Woman,05/26/1987,06/1/1987,Y,National--Registered Voters (See note),1500,Telephone Interview,Sample consists of 1000 women and 500 men. Responses of the genders are weighted to reflect their actual proportion in the population.
USHICK.87NWPC.R010D,Depends (Vol.),5,"(Let's assume again that all you know about two candidates for office is that one is a man and one is a woman. For each of the issues, tell me whether you think the man or the woman probably would do a better job dealing with it in office.)... Arms control",,,05/1/1987,Hickman-Maslin Research,National Women's Political Caucus,New Political Woman,05/26/1987,06/1/1987,Y,National--Registered Voters (See note),1500,Telephone Interview,Sample consists of 1000 women and 500 men. Responses of the genders are weighted to reflect their actual proportion in the population.
USHICK.87NWPC.R010D,Don't know,2,"(Let's assume again that all you know about two candidates for office is that one is a man and one is a woman. For each of the issues, tell me whether you think the man or the woman probably would do a better job dealing with it in office.)... Arms control",,,05/1/1987,Hickman-Maslin Research,National Women's Political Caucus,New Political Woman,05/26/1987,06/1/1987,Y,National--Registered Voters (See note),1500,Telephone Interview,Sample consists of 1000 women and 500 men. Responses of the genders are weighted to reflect their actual proportion in the population.
USHICK.87NWPC.R009L,Man,40,"(Let's assume for a minute that all you know about two candidates for office is that one is a man and one is a woman. For each of the following words and phrases, tell me whether you would associate it more with the man candidate or the woman candidate.)... Backs arms control",,,05/1/1987,Hickman-Maslin Research,National Women's Political Caucus,New Political Woman,05/26/1987,06/1/1987,Y,National--Registered Voters (See note),1500,Telephone Interview,Sample consists of 1000 women and 500 men. Responses of the genders are weighted to reflect their actual proportion in the population.
USHICK.87NWPC.R009L,Woman,18,"(Let's assume for a minute that all you know about two candidates for office is that one is a man and one is a woman. For each of the following words and phrases, tell me whether you would associate it more with the man candidate or the woman candidate.)... Backs arms control",,,05/1/1987,Hickman-Maslin Research,National Women's Political Caucus,New Political Woman,05/26/1987,06/1/1987,Y,National--Registered Voters (See note),1500,Telephone Interview,Sample consists of 1000 women and 500 men. Responses of the genders are weighted to reflect their actual proportion in the population.
USHICK.87NWPC.R009L,No difference (vol.),34,"(Let's assume for a minute that all you know about two candidates for office is that one is a man and one is a woman. For each of the following words and phrases, tell me whether you would associate it more with the man candidate or the woman candidate.)... Backs arms control",,,05/1/1987,Hickman-Maslin Research,National Women's Political Caucus,New Political Woman,05/26/1987,06/1/1987,Y,National--Registered Voters (See note),1500,Telephone Interview,Sample consists of 1000 women and 500 men. Responses of the genders are weighted to reflect their actual proportion in the population.
USHICK.87NWPC.R009L,Depends (Vol.),5,"(Let's assume for a minute that all you know about two candidates for office is that one is a man and one is a woman. For each of the following words and phrases, tell me whether you would associate it more with the man candidate or the woman candidate.)... Backs arms control",,,05/1/1987,Hickman-Maslin Research,National Women's Political Caucus,New Political Woman,05/26/1987,06/1/1987,Y,National--Registered Voters (See note),1500,Telephone Interview,Sample consists of 1000 women and 500 men. Responses of the genders are weighted to reflect their actual proportion in the population.
USHICK.87NWPC.R009L,Don't know,2,"(Let's assume for a minute that all you know about two candidates for office is that one is a man and one is a woman. For each of the following words and phrases, tell me whether you would associate it more with the man candidate or the woman candidate.)... Backs arms control",,,05/1/1987,Hickman-Maslin Research,National Women's Political Caucus,New Political Woman,05/26/1987,06/1/1987,Y,National--Registered Voters (See note),1500,Telephone Interview,Sample consists of 1000 women and 500 men. Responses of the genders are weighted to reflect their actual proportion in the population.
